Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1984,516,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1975,762,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1974,12493,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,2011,3966,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1971,14818,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1976,11312,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1961,28089,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1965,1603,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,2002,374,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1980,41,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1986,9021,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2009,2922,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1971,17246,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1978,13458,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2005,3293,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2014,1475,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1976,16132,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1965,19085,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1985,5362,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,2000,286,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1968,1289,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2008,3371,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2009,189,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1984,744,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,2014,1834,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2006,3185,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1966,1791,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1997,403,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2000,4093,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1992,6328,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2003,3614,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,2003,372,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1969,73,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,2013,1917,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2015,1441,239,57,1960,2016
