Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1969,1186,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Myanmar,MMR,1988,137509,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Thailand,THA,1991,38564,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Dominican Republic,DOM,2015,6803,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Poland,POL,1993,8375,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1989,523,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Maldives,MDV,1998,384,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sub-Saharan Africa (excluding high income),SSA,1994,4121114,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Maldives,MDV,1969,1506,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Barbados,BRB,1998,55,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Brunei Darussalam,BRN,2005,75,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,East Asia & Pacific (excluding high income),EAP,1992,2085956,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ireland,IRL,1966,1661,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,"Egypt, Arab Rep.",EGY,1973,337127,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Vietnam,VNM,1993,82638,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Angola,AGO,1993,147669,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Madagascar,MDG,1989,78471,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Uganda,UGA,1987,133351,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Malta,MLT,1989,64,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Uzbekistan,UZB,2006,26762,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Colombia,COL,1961,95579,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Arab World,ARB,2000,484069,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Upper middle income,UMC,2000,1250563,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Brunei Darussalam,BRN,2016,66,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sierra Leone,SLE,1970,41877,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Turkey,TUR,1983,165068,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,El Salvador,SLV,1969,23608,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Myanmar,MMR,1989,132900,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Niger,NER,1976,94311,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Gabon,GAB,1997,3378,239,57,1960,2016
